State,AvgSalary,BachelorDegreePct,WorkAgePct,Region,DemDiv,IncomeIneq,PoliticalLean,AmazonHQ2,Medicare
Alabama,50637,26.2,64.6,0,53.1,48,1,0,0
Alaska,68919,30,58.2,1,62.8,44,1,0,0
Arizona,56667,30.3,67.9,1,61.5,46,0,1,0
Arkansas,51787,23.8,67.4,0,49.8,48,1,0,0
California,77339,34.7,59,1,69.7,49,0,1,1
Colorado,74167,41.6,57.1,1,52.3,46,0,1,0
Connecticut,84972,40,60.9,3,55.7,50,0,1,0
Delaware,61387,32.7,66.4,0,59.6,45,0,1,1
District of Columbia,96728,59.8,43.3,0,67.2,53,0,0,1
Florida,63597,30.5,67.7,0,64.1,49,1,1,0
Georgia,57129,32.2,60.5,0,64.1,48,0,1,0
Hawaii,61175,33.6,65.8,1,76,46,0,0,1
Idaho,52537,28.7,70,1,35.9,46,1,0,1
Illinois,68822,35.5,61.6,2,60.3,48,0,1,1
Indiana,57930,27.2,64.3,2,41.3,45,1,1,0
Iowa,58905,29.3,67.2,2,30.8,45,1,0,1
Kansas,60152,33.9,66.8,2,45.4,46,1,1,0
Kentucky,52109,25,63.8,0,32.8,48,1,1,0
Louisiana,54622,24.9,63.8,0,58.6,50,1,0,0
Maine,59463,32.5,64.9,3,18.5,47,0,0,0
Maryland,70730,40.9,60.3,0,67.3,46,0,1,1
Massachusetts,84945,44.5,57.1,3,51.6,49,0,1,0
Michigan,56813,30,63.5,2,45.2,47,0,1,1
Minnesota,68010,36.8,64.1,2,40.5,45,0,1,1
Mississippi,46248,22.8,65.6,0,55.9,48,1,1,0
Missouri,56551,29.9,65,2,40.8,47,1,1,0
Montana,57719,33.1,67.2,1,30.1,47,1,0,1
Nebraska,63321,32.5,67.8,2,40.8,46,1,0,0
Nevada,61282,25.5,62.5,1,68.8,47,0,1,0
New Hampshire,74663,37.6,59,3,23.6,43,0,0,1
New Jersey,78700,40.7,61.9,3,65.8,49,0,1,1
New Mexico,51500,28.1,67.9,1,63,49,0,0,0
New York,78089,37.5,59.7,3,65.8,51,0,1,1
North Carolina,57416,32,62.4,0,57.9,48,1,1,0
North Dakota,66184,30.7,63.2,2,32.6,45,1,0,1
Ohio,57880,28.9,64.7,2,40.4,47,1,1,0
Oklahoma,54998,26.1,66.4,0,59.5,46,1,0,1
Oregon,62767,34.4,62.2,1,46.1,46,0,1,1
Pennsylvania,65167,32.3,63.8,3,44,47,0,1,1
Rhode Island,65377,35,57.9,3,49.4,47,0,1,0
South Carolina,53320,29,65.2,0,54.6,48,1,1,0
South Dakota,65806,29.3,70.2,2,35.6,45,1,0,1
Tennessee,58279,28.2,62.9,0,46.6,48,1,1,0
Texas,61985,30.7,62.1,0,67,48,1,1,0
Utah,57925,34.7,68.1,1,40.7,44,1,1,0
Vermont,63206,39.7,61,3,20.2,45,0,0,1
Virginia,68211,39.5,59.8,0,60.5,47,0,1,0
Washington,75698,36.7,59.9,1,55.9,47,0,1,1
West Virginia,49169,21.3,67.1,0,20.2,49,1,0,1
Wisconsin,61210,30.8,63.6,2,37,45,0,1,1
Wyoming,71342,28.2,65.6,1,32.4,46,1,0,1
